NOMETABELA;ORDEM;NOMECAMPO;CHAVE;OBRIGATORIO;TIPO;DESCRICAO;TABELAORIGEM;FORMATO;REGRAS
PROC_LICIT_ATA_REG_PRECO_ITEM;4;PLIC_DataSituacao;SIM;SIM;Caractere(10);Data da situação;PROC_LICIT_ATA_REGISTRO_PRECO;;REGRA 1: O conteúdo do campo deverá conter uma DATA válida, a DATA será validada segundo o critério "<= DATA ATUAL" (ver regra d).
PROC_LICIT_ATA_REG_PRECO_ITEM;5;PLICATA_NumAta;SIM;SIM;Caractere(16);Núm. da ata de registro de preços;PROC_LICIT_ATA_REGISTRO_PRECO;"99999999999/AAAA" (NRO/ANO);REGRA 1: O conteúdo do campo deverá conter um valor no formato "99999999999/AAAA" (NRO/ANO), o ANO será validado segundo o critério "<= EXERC_ATUAL" (ver regra d).
PROC_LICIT_ATA_REG_PRECO_ITEM;6;PLIC_SituacaoItem;SIM;SIM;Inteiro;Situação do processo licitatório (item);ITEM_PROC_LICIT;1, 2, 21, 22;REGRA 1: O conteúdo do campo deverá estar preenchido com "'1', '2', '21', '22'".
PROC_LICIT_ATA_REG_PRECO_ITEM;7;PLIC_DataSituacaoItem;SIM;SIM;Caractere(10);Data da situação (item);ITEM_PROC_LICIT;;REGRA 1: O conteúdo do campo deverá conter uma DATA válida, a DATA será validada segundo o critério "<= DATA ATUAL" (ver regra d).
PROC_LICIT_ATA_REG_PRECO_ITEM;8;PLICLOTE_NumeroLote;SIM;SIM;Inteiro;Núm. do lote;ITEM_PROC_LICIT;;REGRA 1: O conteúdo do campo deverá conter o número ZERO ou POSITIVO quando obrigatório.
PROC_LICIT_ATA_REG_PRECO_ITEM;9;IPLIC_NumeroItem;SIM;SIM;Inteiro;Núm. do item;ITEM_PROC_LICIT;;REGRA 1: O conteúdo do campo deverá conter o número ZERO ou POSITIVO quando obrigatório.
PROC_LICIT_ATA_REG_PRECO_ITEM;10;PLICATAI_QtdeGerencParticip;NÃO;SIM;Caractere(14,2);Quantidade homologada do gerenciador + participantes;;;REGRA 1: O conteúdo do campo deverá conter um número POSITIVO quando obrigatório.
PROC_LICIT_ATA_REG_PRECO_ITEM;11;PLICATAI_QtdeMaxAdesoes;NÃO;NÃO;Caractere(14,2);Quantidade máxima para adesões (caronas);;;REGRA 1: O conteúdo do campo deverá conter o número ZERO ou POSITIVO quando obrigatório.
PROC_LICIT_ATA_REGISTRO_PRECO;1;PLIC_Numero;SIM;SIM;Caractere(16);Núm. de controle do processo licitatório no Aplic;PROCESSO_LICITATORIO_SITUACAO;"99999999999/AAAA" (NRO/ANO);REGRA 1: O conteúdo do campo deverá conter um valor no formato "99999999999/AAAA" (NRO/ANO), o ANO será validado segundo o critério "<= EXERCÍCIO" (ver regra d).
PROC_LICIT_ATA_REGISTRO_PRECO;2;MLIC_Codigo;SIM;SIM;Caractere(2);Cód. da modalidade da licitação;PROCESSO_LICITATORIO_SITUACAO;26...47|01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 12, 13, 14, 15, 19, 20, 21, 24, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72;REGRA 1: O conteúdo do campo deverá estar preenchido com "26...47|'01', '02', '03', '04', '05', '06', '07', '08', '09', '10', '12', '13', '14', '15', '19', '20', '21', '24', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '70', '71', '72'".
